code,code_name
DRS,드레스덴
DRW,다윈
DSM,디모인
DTT,디트로잇
DTW,디트로이트
DUB,더블린
DVO,다바오
DWF,데이톤
DWN,브루나이
DXB,두바이
DYG,장자제
YMX,몬트리얼
YNJ,옌지
YNT,옌타이
YNY,양양
YNZ,옌청
YOK,요코하마
YQG,윈저락
YQX,세인트토마스
YTO,토론토
YUL,몬트리올
YVR,뱅쿠버
YWG,위니펙
YXX,애보츠포드
YXY,화이트호스
YYC,캘거리
YYZ,토론토
YZD,다운스비위
YZF,옐로우나이프
ZRH,취리히
SSC,쇼우공군비행장
HMA,한티-만시스크
RJO,이와쿠니
PVU,유니시펄공항
CLD,칼스바드
IUD,알우데이드
PTK,폰티악
PTN,패터슨
PTY,토쿠멘
PUS,부산/김해
PUY,풀라
PVG,상하이/푸동
PWK,시카코
PWQ,파블로다
QOM,오미야
QPG,파야레버
RAM,라밍닝
REK,레이퀘빅
REP,씨엠립/시엠립
RGN,랑군
RIO,리오데자네이로
RIV,캘리포니아
RIX,리가
RMQ,타이중
RMS,램스타인
RNO,리노
ROG,로저스
OMA,오마하
OME,놈
OMS,옴스크
ONJ,오다테
ONT,온타리오
ORD,시카고
ORL,올랜도
ORY,오를리
OSA,오사카
OSC,오스코다
OSK,오스카
OSL,오슬로
OSN,오산
OSS,오쉬
OTP,부쿠레슈티
OVB,노보시비르스크
OZI,오자르
PAE,에버레트
PAR,파리
PBH,파로
PBI,웨스트팜비치
PDX,포틀랜드
PEC,펠리칸
PEE,볼쇼이사비
PEK,베이징/서우두
PEN,페낭
PES,페트로자보스크
PHC,포트하커트
PHI,시캠
PHL,필라델피아
PHX,피닉스
PIE,세인트피터즈버그
PIK,프레스트윅
PKC,페트로파블로브스키
PKO,코나
PMI,팔마라스팔마스
PNE,필라델피아
PNH,프놈펜/프롬펜
PNI,폼페이
POM,포트모레스비
TTN,트렌톤
WUX,우시
KDH,칸다하르
KBP,보리스필
PGU,아살루이예/페르시안걸프
JMU,자무쓰
CMA,퀸스랜드
BOG,보고타
CWB,아폰소페나
SUV,피지
CXR,나트랑/나트랑캄란
TNR,안타나리보
AWF,포스워스얼라이언스/포트워스얼라이언스
PDP,우루구아이
DOL,도빌
GRZ,그레츠
ZAG,자그레브
UPG,하사누딘
CBR,캔베라
INL,폴스
PTF,파보스
IBR,이바라키
YXE,새스커툰
NCL,뉴캐슬
MRU,모리셔스
ZAZ,사라고사
LIL,레스퀸
APW,팔로우
LPQ,루앙프라방
JYV,지바스킬라
KNH,진먼
CHQ,샤니아수다
APA,덴버/콘테니얼
COS,콜로라도
FAR,파고헥터
ZGC,란저우
SDM,브라운필드무니
SEZ,세이셀
DUR,더반/킹샤카
WKF,워터크루프
OOL,골드코스트
DPA,뒤파제
SHP,친황다오
SYZ,시라즈
AZI,아부다비
IPH,아포
XXN,리야드
MXE,맥스톤
BWE,브라운슈바이크
SUS,세인트루이스
ZLO,만자닐로
OER,오로스콜드수빅
MFE,텍사스/멕알렌
MXL,맥시칼리
BCD,바콜로드-실라이
VNS,바라나시
YFB,토론토/프로비셔만
INC,인촨(은천)
BED,배드포드
SCO,악타우
BGW,바그다드
MTY,몬테레이
XNN,시닝
ISN,슬로린필드
BIL,빌링스
MJI,트리폴리/미티가
NDG,치치하얼
WRI,라이츠타운
UKB,고베
BFR,시애틀
PDK,아틀란타
ATW,애플턴
AAE,안나바/라바비탯
TIM,템바가푸라/티미카
PNK,폰티아나크
BUF,버팔로
EBB,엔테베
JJN,취안저우/진장
NMT,남튜
JNU,알래스카/준오
NUQ,샌프란시스코/모페트
HPH,하이퐁
LJG,리지앙
TSF,트레비소
CMN,카사블링카
OAE,요꼬다/옴니버
IKA,테헤란/이맘호메이니
HSZ,신추공군기지
MLH,뮐루즈
JNZ,진저우
IBZ,이비자
DUS,뒤셀도르프
IWK,이와쿠니
OSW,오르스크
UTH,우돈타니
LHW,란저우
GDL,과달라하라
ORB,외레브로
SBW,시부
KCO,이즈미트/이즈밋토펠
XRY,팔마라스팔마스/제레즈
DWC,알막툼
KRW,투르크멘바시
AER,소치
AHB,리야드/압하
XUZ,서주
AMB,엠벌리호주공군
OST,오스텐드
BOJ,불가스
DMC,제벨알리
GBB,바쿠
FLR,피렌체
NZH,만저우리
HLD,하이라얼
KOS,시하누크빌
TLN,히에레스
BGO,베르겐
RVN,로바니미
PER,퍼스
BLQ,볼로냐
HMY,서산
BJV,보드룸/밀라스
MDL,만달레이
SVG,아키아착/스타방해르
HND,도쿄/하네다
HNL,호놀루루
HON,호른
HOU,휴스톤
HPN,웨스트체서
HRB,하얼빈
HSV,헌츠빌
HTA,치타
HUI,휴이휴
HUN,화리엔
HYD,하이데라바드
IAD,워싱턴둘리스
AAN,알아인
ABA,아바칸
ABL,아발란
ACD,아칸디
ACY,아틀란타
ADD,아디스아바바
ADE,예맨
ADK,애디악
ADL,아드레이드
ADQ,코디악
AKJ,아사이까와
AKL,오클랜드
AKN,킹살몬
AKX,악티유빈스크
ALA,알마아타
ALB,알바니
ALG,알지에
AMA,애머릴로
AMD,아메다바드
AMM,암만
AMS,암스텔담
ANC,앵커리지
AND,안데르센
ANK,앙카라
AOJ,아오모리
AQJ,아카바
ARH,아르항겔스크
ARN,스톡홀름알란다
ASB,아쉬카바드/아시가바트
ASC,데드호스
ASP,엘리스스프링스
ATH,아테네
ATL,아틀란타
AUH,아부다비
AUS,오스틴
AVV,아발론
AWA,아와사
AXT,아끼다
AYT,안탈야
AZN,안디잔
BAH,바레인
BAK,바쿠
BAS,부에노스아이레스
BAX,바르나욜
BBU,부카레스트
BCH,바카우
BCN,바로셀로나/바르셀로나
BDA,버뮤다
BDL,브라들리(윈저락)
BEG,베오그라드
BEN,벤하지-베니나
BER,베르린
BET,베델
BEY,베이루트
BFI,보잉필드
BFN,모빌
BFS,벨패스트
BGR,반고르
BHK,부하라
BIE,비슈케크
BIK,비아크
BKA,모스코바/비코보
BKI,코타키나발루
BKK,방콕
BLL,빌란드
BLR,뱅갈로
BMA,스톡홀름
BNA,나쉬빌
BNE,브리스번
BOM,뭄바이
BOS,보스톤
BPN,발릭파판
BQH,비긴힐
BQS,블라고베첸스크
BRE,브레멘
BRU,브뤼셀
BSL,바젤
BST,보스트
BTH,바탐
BTK,브라츠크
BTU,빈투루
BUD,부다페스트
BUH,부쿠레스트
BUR,버뱅크
BWI,볼티모어
BWN,반다르세리
BWT,브루나이
CAI,카이로
CAN,광저우
CBG,켐브리지
CCK,캄차스키
CCU,캘커타
CDB,콜드베이
CDG,파리
CEB,세부
CEI,치앙마이
CEK,쉘야빈스크
CGK,자카르타
CGN,퀼른
CGO,정저우
ROK,록햄튼
ROM,로마
ROR,코로르
ROV,로스토프
ROW,로스웰
RSU,여수
RUH,리야드
RUN,루사카
SAK,사카린스크
SAN,샌디아고
SAT,산안티노
SAW,사비하곽첸
SBA,산타바바라
SCL,산티아고
SCW,식팁카르
SDA,바그다드
SDJ,센다이
SDN,샌다인
SEA,시애틀
SFO,샌프란시스코
SFS,슈빅
SGF,스프링필드
SGN,호치민/호찌민
SHA,상하이/홍차오
SHB,나카시베츠
SHD,스타운톤
SHE,선양
SHM,시라하마
SIA,시안
SIN,싱가폴
SJC,산호세
SJW,스자좡
SKA,스포캐인
SKD,사마르칸드
SLC,솔트레이크시티
SMF,사크라멘토
SMX,산타마리아
SNK,선덕
SNN,샤논
SNP,세인트폴아이랜드
SOF,소피아
SOU,사우샘프턴
SPK,삿보로
PPS,프에프토프린세사
PPT,타히티
PRG,파라구에
PSA,갈릴레오갈릴레이
PSP,팜스프링스
DYR,아나드르
DYU,듀산베
EDF,엘멘도르프
EDI,에덴버그
EIL,엘슨
EIN,에인트호벤
EMA,노팅햄이스트미들랜드
ESB,앙카라
EVN,예레반
EWR,뉴왁
FAB,판보로
FAI,페어뱅크스
FCN,노트홀즈
FCO,로마
FEG,페르가나
FJR,푸자이라
FKB,칼스루헤
FKJ,후꾸이
FKS,후쿠시마
FLL,포트로더데일
FNI,니메스
FNJ,평양
FOC,푸저우
FRA,프랑크푸르트
FRG,파밍데일
FRU,비쉬케크
FTM,후테마
FUK,후쿠오카
GAJ,야마가타
GDN,그다니스크
GDX,마가단
GIG,리오데자네이로
GML,호스토멜
GMP,서울/김포
GNB,그렌노블
GOT,고테버그
GRR,그랜드래피즈
GRU,상파울루
GUA,과테말라시
GUM,괌
GVA,제네바
GYD,아제르바이잔
GZR,쿠르미토라
HAJ,하노버
HAK,하이코우
HAM,함브르크
HAN,하노이
HEL,헬싱키
HET,후허하오터
HFE,허페이
HGH,항저우
HGR,해거스타운
HHA,창사(황화)
HHH,힐튼헤드아일랜드
HHN,한
HIJ,히로시마
HIK,히캄
HIN,사천
HIO,힐스보로
HKD,하꼬다데
HKG,홍콩
HKJ,아사히까와
HKT,푸켓
HLP,"할림,자카르타"
HMN,앨러머고도
HNA,모리오카
MSQ,민스크
MSY,뉴올리안스
MTJ,몬트로즈
MUC,뮌헨
MWX,무안
MXP,밀라노
MYJ,마즈야마
MYP,마리
MYY,미리
MZG,마쿵
MZJ,마라나
NAK,나콘라차시마
NAL,날칙
NAN,나디
NBK,수완나품
NBO,나이로비
NCE,니스
NGB,닝보
NGF,카네오네
NGO,나고야
NGS,나가사키
NGU,놀포크
NHD,민하드(두바이)
NJA,아수끼
NJC,니쯔네바토브스크
NKG,난징
NKM,나고야/고마키/나고야
NKW,디에고가르시아
NMA,나망간
NMG,나망간
NNG,난닝
NOM,노옴
NOU,누메아
NOV,노보시비르스키
NOZ,노보쿠즈네츠크
NRD,나리타
NRT,도쿄/나리타
NTQ,노도
NUE,뉘른베르크
NUW,휘드데이
NVY,뉴텔리
NYC,뉴욕
NYL,유마해병항공기
NYO,스카브스타
NYU,바겐
OBO,오비히로
OCK,오크라호마
ODM,오클랜드
OGG,카울우이
OHY,하다아바드
OIT,오이다/오이타
OKA,오키나와
OKI,오키
OKJ,오까야마
OKO,요꼬다
IAH,휴스턴
IAI,코나
ICN,인천
ICT,위치콘
IEV,키에프
IFN,이스파한
IGU,이과수
IKN,이와쿠니
IKT,일크트스크
ILM,윌밍턴
ILN,윌밍턴
